neighborhood,latitude,longitude,num_schools,num_hospitals,num_parks,num_metro_stations,nearest_station,distance_to_station_km,Station_Name,PM25_Annual,PM25_Winter,PM25_Monsoon,Traffic_Index,Rent_Price,PM25_Winter_scaled,PM25_Monsoon_scaled,Traffic_Index_scaled,num_schools_scaled,num_hospitals_scaled,num_parks_scaled,Rent_Price_scaled,Cluster_ID
Janakpuri,28.6219,77.0878,6,8,30,5,NSIT Dwarka,5.59,NSIT Dwarka,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.2727272727272727,0.4705882352941176,0.2158273381294964,0.0,1
Jangpura,28.5828,77.2435,12,1,64,6,Jawaharlal Nehru Stadium,0.99,Jawaharlal Nehru Stadium,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.5454545454545454,0.0588235294117647,0.460431654676259,0.0,0
Kalkaji,28.5414,77.2515,14,7,86,13,Okhla Phase-2,2.27,Okhla Phase-2,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.6363636363636364,0.4117647058823529,0.6187050359712231,0.0,0
Kamla Nagar,28.6806,77.2023,0,0,0,0,North Campus (DU),0.86,North Campus (DU),66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Kanjhawala,28.7196,77.0016,0,0,0,0,Bawana,7.92,Bawana,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Karawal Nagar,28.7302,77.2741,0,0,0,0,Sonia Vihar,3.25,Sonia Vihar,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Karol Bagh,28.655,77.1888,0,0,0,0,Mandir Marg,2.28,Mandir Marg,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Kashmere Gate,28.6675,77.2285,3,2,7,11,North Campus (DU),3.15,North Campus (DU),66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.1363636363636363,0.1176470588235294,0.0503597122302158,0.0,2
Kirti Nagar,28.6496,77.1422,3,5,2,3,Shadipur,0.54,Shadipur,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.1363636363636363,0.2941176470588235,0.014388489208633,0.0,2
Lajpat Nagar,28.5677,77.2433,15,9,139,8,Nehru Nagar,0.7,Nehru Nagar,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.6818181818181819,0.5294117647058824,1.0,0.0,0
Laxmi Nagar,28.6305,77.2773,15,4,31,11,Patparganj,1.23,Patparganj,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.6818181818181819,0.2352941176470588,0.2230215827338129,0.0,1
Lodhi Colony,28.5878,77.2215,10,1,40,5,Lodhi Road,0.72,Lodhi Road,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.4545454545454546,0.0588235294117647,0.2877697841726618,0.0,0
Malviya Nagar,28.5362,77.2114,18,14,91,10,Siri Fort,1.63,Siri Fort,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.8181818181818182,0.8235294117647058,0.6546762589928058,0.0,0
Mangolpuri,28.6946,77.0722,0,0,0,0,Mundka,1.18,Mundka,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Mayur Vihar,28.6046,77.2911,19,4,36,5,Patparganj,2.15,Patparganj,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.8636363636363636,0.2352941176470588,0.2589928057553957,0.0,1
Mehrauli,28.5204,77.1804,8,5,17,1,Sri Aurobindo Marg,1.54,Sri Aurobindo Marg,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.3636363636363636,0.2941176470588235,0.1223021582733813,0.0,0
Model Town,28.7027,77.1939,3,4,27,4,Ashok Vihar,1.45,Ashok Vihar,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.1363636363636363,0.2352941176470588,0.1942446043165467,0.0,2
Moti Bagh,28.5825,77.1683,9,5,29,9,R.K. Puram,2.81,R.K. Puram,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.4090909090909091,0.2941176470588235,0.2086330935251798,0.0,0
Mukherjee Nagar,28.7093,77.2144,0,0,0,0,Burari Crossing,2.22,Burari Crossing,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Munirka,28.5559,77.1702,5,1,26,8,R.K. Puram,1.82,R.K. Puram,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.2272727272727273,0.0588235294117647,0.1870503597122302,0.0,0
Najafgarh,28.6092,76.9798,13,17,9,6,Najafgarh,0.85,Najafgarh,61.2,93.1,40.6,5.1,0,0.0,0.0,0.0,0.5909090909090909,1.0,0.0647482014388489,0.0,3
Narela,28.855,77.091,0,0,0,0,Narela,0.99,Narela,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Nehru Place,28.5492,77.2517,13,6,75,20,Nehru Nagar,2.08,Nehru Nagar,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.5909090909090909,0.3529411764705882,0.539568345323741,0.0,0
Okhla,28.5649,77.285,3,6,10,2,CRRI Mathura Road,1.88,CRRI Mathura Road,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.1363636363636363,0.3529411764705882,0.0719424460431654,0.0,0
Palam,28.5866,77.085,9,8,17,3,Dwarka Sector-8,2.15,Dwarka Sector-8,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.4090909090909091,0.4705882352941176,0.1223021582733813,0.0,0
Paschim Vihar,28.6685,77.0931,0,0,0,0,Punjabi Bagh,2.31,Punjabi Bagh,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Patel Nagar,28.6508,77.1652,10,2,24,6,Shadipur,1.75,Shadipur,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.4545454545454546,0.1176470588235294,0.1726618705035971,0.0,1
Pitampura,28.7033,77.1323,20,7,61,5,Wazirpur,3.26,Wazirpur,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.9090909090909092,0.4117647058823529,0.4388489208633094,0.0,1
Preet Vihar,28.6387,77.2974,19,5,72,4,Patparganj,1.94,Patparganj,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.8636363636363636,0.2941176470588235,0.5179856115107914,0.0,1
Punjabi Bagh,28.6675,77.1259,4,8,25,1,Punjabi Bagh,0.9,Punjabi Bagh,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.1818181818181818,0.4705882352941176,0.1798561151079137,0.0,1
Rajouri Garden,28.6415,77.1209,8,3,14,6,Pusa (DPCC),2.49,Pusa (DPCC),66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.3636363636363636,0.1764705882352941,0.1007194244604316,0.0,1
RK Puram,28.5653,77.1747,7,2,18,4,R.K. Puram,1.22,R.K. Puram,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.3181818181818182,0.1176470588235294,0.1294964028776978,0.0,0
Rohini,28.7041,77.1025,0,0,0,0,Mundka,3.32,Mundka,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Safdarjung,28.5619,77.1969,7,9,52,7,R.K. Puram,0.99,R.K. Puram,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.3181818181818182,0.5294117647058824,0.3741007194244604,0.0,0
Saket,28.5246,77.2066,14,8,64,9,Sri Aurobindo Marg,1.77,Sri Aurobindo Marg,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.6363636363636364,0.4705882352941176,0.460431654676259,0.0,0
Sarita Vihar,28.529,77.3027,0,0,0,0,Okhla Phase-2,3.08,Okhla Phase-2,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.0,0.0,0.0,0.0,0
Shahdara,28.6732,77.286,7,5,22,2,IHBAS (Dilshad Garden),1.84,IHBAS (Dilshad Garden),66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.3181818181818182,0.2941176470588235,0.158273381294964,0.0,1
Shalimar Bagh,28.7175,77.1528,4,5,32,3,Wazirpur,2.32,Wazirpur,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.1818181818181818,0.2941176470588235,0.2302158273381295,0.0,2
South Extension,28.5701,77.2215,9,4,41,5,Jawaharlal Nehru Stadium,1.64,Jawaharlal Nehru Stadium,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.4090909090909091,0.2352941176470588,0.2949640287769784,0.0,0
Sunder Nagar,28.6015,77.2378,0,0,0,0,Major Dhyan Chand Stadium,1.09,Major Dhyan Chand Stadium,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Tilak Nagar,28.6365,77.0937,8,2,31,2,Punjabi Bagh,4.18,Punjabi Bagh,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.3636363636363636,0.1176470588235294,0.2230215827338129,0.0,1
Uttam Nagar,28.6213,77.056,9,11,8,5,NSIT Dwarka,2.67,NSIT Dwarka,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.4090909090909091,0.6470588235294118,0.0575539568345323,0.0,1
Vasant Kunj,28.5293,77.1519,0,0,0,0,Sri Aurobindo Marg,3.76,Sri Aurobindo Marg,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.0,0.0,0.0,0.0,0
Vasant Vihar,28.5606,77.1627,0,0,0,0,R.K. Puram,2.39,R.K. Puram,70.1,106.2,42.8,8.3,0,1.0,0.7586206896551708,0.9999999999999998,0.0,0.0,0.0,0.0,0
Vikas Puri,28.6346,77.0697,20,4,82,3,NSIT Dwarka,4.61,NSIT Dwarka,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.9090909090909092,0.2352941176470588,0.5899280575539568,0.0,1
Vivek Vihar,28.6644,77.3117,0,0,0,0,Vivek Vihar,0.94,Vivek Vihar,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0,0.0,0.0,0.0,2
Yamuna Vihar,28.6931,77.2694,1,3,66,1,Sonia Vihar,2.74,Sonia Vihar,66.1,99.2,43.5,7.0,0,0.4656488549618327,1.0,0.5937499999999998,0.0454545454545454,0.1764705882352941,0.4748201438848921,0.0,2
